desc,number,voltage,source,srcBreak,srcName,mounting,siteNo,siteName,_predicate,geometry,latlon,lon,lat,size
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,916813,ERMINE FARM SOLAR FARM 33KV 33KV SW STN,INTERSECTS,POINT (500736.289 346752.153),"(-0.5000980594560779, 53.00861214148974)",-0.5000980594560779,53.00861214148974,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,906387,FISKERTON SOLAR FARM 33KV S/STN,INTERSECTS,POINT (504973.405 372963.646),"(-0.4284070874955971, 53.24332104192005)",-0.4284070874955971,53.24332104192005,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,900036,WRAGBY 33KV/11KV S/STN,INTERSECTS,POINT (512926.639 377960.00200000004),"(-0.30751183202451143, 53.286588248045476)",-0.30751183202451143,53.286588248045476,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,900036,WRAGBY 33KV/11KV S/STN,INTERSECTS,POINT (512926.288 377952.59),"(-0.30751467272190774, 53.286516369605074)",-0.30751467272190774,53.286516369605074,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,910029,CROWLAND 33/11KV S/STN,INTERSECTS,POINT (524209.719 311102.75),"(-0.16400397635557487, 52.683381273771786)",-0.16400397635557487,52.683381273771786,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,910029,CROWLAND 33/11KV S/STN,INTERSECTS,POINT (524213.12 311093.493),"(-0.16394822897504574, 52.68329949240085)",-0.16394822897504574,52.68329949240085,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,910030,WHAPLODE DROVE 33KV/11KV S/STN,INTERSECTS,POINT (531724.9130000001 312909.56200000003),"(-0.0521794527453836, 52.697842993538735)",-0.0521794527453836,52.697842993538735,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,917543,NOWHERE FARM PV 33KV/11KV S/STN,INTERSECTS,POINT (527617.296 337947.722),"(-0.10315007510908505, 52.92378062435909)",-0.10315007510908505,52.92378062435909,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,910017,WARDENTREE PARK 33KV/11KV S/STN,INTERSECTS,POINT (525851.569 325615.22000000003),"(-0.13416463616515847, 52.813399028342054)",-0.13416463616515847,52.813399028342054,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,910017,WARDENTREE PARK 33KV/11KV S/STN,INTERSECTS,POINT (525851.524 325614.54),"(-0.1341650209526814, 52.81339004366286)",-0.1341650209526814,52.81339004366286,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,690069,CLAY LAKE GENERATION 33KV/11KV S/STN,INTERSECTS,POINT (525419.808 321275.567),"(-0.14223295762213647, 52.7745057770743)",-0.14223295762213647,52.7745057770743,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,900022,MOUNT BRIDGE BOSTON 33KV/11KV S/STN,INTERSECTS,POINT (533443.963 343144.455),"(-0.014406942241959968, 52.969055297405234)",-0.014406942241959968,52.969055297405234,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,900022,MOUNT BRIDGE BOSTON 33KV/11KV S/STN,INTERSECTS,POINT (533459.132 343145.298),"(-0.014168437690367148, 52.96906030325373)",-0.014168437690367148,52.96906030325373,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,906126,LEVERTON SOLAR PARK,INTERSECTS,POINT (538502.196 349347.408),"(0.06352759903872558, 53.02349745678863)",0.06352759903872558,53.02349745678863,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,900006,SLEAFORD ROAD BOSTON 33KV/11KV S/STN,INTERSECTS,POINT (532178.479 344062.587),"(-0.032856784388862616, 52.97761552070371)",-0.032856784388862616,52.97761552070371,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,900006,SLEAFORD ROAD BOSTON 33KV/11KV S/STN,INTERSECTS,POINT (532178.75 344070.918),"(-0.03285351961928405, 52.97768739188113)",-0.03285351961928405,52.97768739188113,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,906537,GRANGE FARM SOLAR KIRKBY ON BAIN 33KV,INTERSECTS,POINT (523109.329 362088.419),"(-0.16096240629235217, 53.141726655738985)",-0.16096240629235217,53.141726655738985,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,917515,THE GRANGE WINDFARM 33KV/11KV S/STN,INTERSECTS,POINT (546070.233 319222.346),"(0.16276168275271424, 52.75087782374561)",0.16276168275271424,52.75087782374561,10
